ID,Segmentation
460729,A
460733,D
460740,B
460743,C
460746,D
460763,B
460769,D
460780,D
460783,A
460785,D
460789,A
460794,A
460796,D
460802,C
460811,B
460813,B
460815,C
460822,A
460825,D
460828,A
460830,D
460831,D
460837,A
460840,A
460846,D
460847,A
460851,C
460857,A
460860,C
460861,D
460866,C
460872,B
460877,C
460878,B
460882,D
460888,D
460891,C
460897,D
460898,C
460901,D
460902,A
460905,A
460906,A
460907,D
460923,C
460924,D
460928,C
460934,D
460935,A
460945,D
460953,A
460961,D
460962,C
460963,A
460968,B
460976,D
460977,B
460979,A
460981,A
460984,B
460988,B
460989,D
460991,D
460993,C
460999,D
461000,B
461015,B
461016,D
461022,B
461024,A
461028,D
461029,A
461034,D
461038,B
461041,D
461043,D
461044,D
461049,A
461059,A
461060,C
461071,B
461078,D
461082,D
461085,A
461093,C
461099,A
461111,A
461114,C
461116,D
461119,D
461121,D
461124,D
461127,D
461128,D
461129,B
461145,A
461154,D
461162,D
461163,A
461168,D
461169,A
461177,B
461178,D
461179,D
461183,D
461187,D
461197,D
461211,A
461214,D
461215,A
461218,D
461220,D
461221,D
461225,D
461236,D
461237,D
461241,D
461242,D
461243,D
461248,D
461252,B
461256,D
461257,B
461258,C
461262,A
461263,B
461265,D
461269,D
461276,D
461277,B
461281,D
461286,C
461289,D
461297,B
461299,B
461303,D
461308,D
461309,D
461314,C
461319,C
461320,A
461322,C
461323,D
461324,B
461326,A
461335,C
461340,C
461346,B
461348,D
461350,D
461352,D
461356,D
461357,D
461363,B
461366,D
461370,D
461378,A
461383,C
461397,D
461402,D
461408,D
461423,D
461426,C
461428,B
461432,C
461437,B
461439,C
461441,C
461442,C
461454,C
461456,D
461457,D
461458,B
461462,D
461465,C
461466,A
461469,B
461476,C
461479,C
461480,C
461482,B
461494,A
461501,B
461503,A
461510,A
461514,D
461516,A
461518,C
461521,B
461522,A
461525,A
461526,D
461530,A
461534,B
461546,D
461548,A
461553,A
461556,B
461558,C
461564,C
461570,C
461574,C
461587,D
461593,C
461604,A
461612,D
461615,D
461617,B
461626,C
461630,C
461637,B
461644,D
461653,C
461655,B
461658,C
461659,C
461661,C
461663,D
461668,C
461671,D
461674,C
461676,A
461679,D
461681,D
461683,B
461685,D
461686,B
461690,A
461694,D
461695,C
461698,C
461701,B
461705,C
461708,A
461709,A
461711,A
461716,A
461720,B
461722,D
461724,B
461725,A
461727,C
461737,C
461744,C
461747,B
461749,D
461752,B
461756,B
461760,C
461769,B
461771,A
461775,A
461778,A
461780,C
461784,A
461788,B
461791,D
461792,D
461800,A
461801,D
461802,A
461804,A
461807,D
461815,B
461816,D
461821,D
461822,C
461824,D
461837,B
461845,C
461846,B
461848,D
461858,D
461859,C
461860,B
461862,B
461864,A
461872,B
461873,D
461874,C
461882,D
461892,D
461896,A
461898,C
461899,D
461901,D
461913,A
461921,B
461927,D
461929,A
461930,A
461931,D
461936,B
461941,C
461943,D
461962,B
461963,B
461965,D
461967,D
461968,A
461978,D
461988,A
461993,D
461994,D
461996,C
461999,D
462007,C
462011,D
462013,C
462015,A
462016,C
462017,D
462027,A
462029,A
462033,D
462038,C
462043,D
462044,B
462048,D
462052,B
462058,A
462060,C
462064,C
462068,C
462075,B
462078,C
462080,B
462081,D
462083,D
462084,A
462085,D
462088,B
462090,B
462091,D
462102,B
462103,A
462109,D
462111,C
462114,D
462116,C
462118,A
462120,A
462128,B
462131,A
462134,A
462141,B
462149,D
462151,A
462163,C
462168,C
462171,A
462172,C
462174,B
462179,C
462180,B
462186,D
462187,B
462188,B
462196,B
462197,B
462200,C
462202,A
462203,D
462204,D
462205,D
462209,A
462210,A
462211,D
462214,A
462216,A
462218,B
462220,D
462222,D
462231,D
462232,A
462240,B
462243,A
462246,B
462249,D
462256,B
462260,A
462262,D
462274,C
462275,C
462278,D
462279,D
462280,D
462281,B
462284,C
462286,C
462290,A
462297,B
462300,C
462304,C
462306,D
462310,C
462323,C
462336,A
462339,A
462340,B
462342,C
462345,C
462346,A
462349,C
462356,A
462358,D
462365,A
462368,C
462370,C
462381,B
462382,C
462386,D
462389,A
462395,C
462397,C
462400,A
462401,D
462409,A
462411,A
462415,D
462420,D
462421,B
462423,B
462424,C
462428,C
462429,A
462445,D
462446,D
462447,D
462451,D
462454,D
462456,D
462457,D
462463,C
462472,A
462485,A
462488,D
462491,A
462492,B
462496,C
462498,C
462503,C
462508,D
462517,B
462518,D
462519,D
462521,D
462522,B
462525,C
462526,C
462529,A
462533,D
462538,C
462541,C
462542,C
462543,B
462545,D
462554,B
462561,C
462563,C
462577,D
462578,B
462580,A
462584,A
462587,B
462589,A
462595,C
462600,D
462609,A
462611,A
462613,B
462615,A
462617,D
462625,A
462626,A
462654,B
462658,A
462668,B
462678,C
462683,A
462687,A
462696,B
462702,B
462704,C
462705,B
462716,D
462723,B
462727,A
462729,D
462731,C
462735,A
462736,D
462739,B
462743,D
462746,D
462747,D
462756,D
462761,D
462762,B
462767,D
462768,C
462776,B
462788,B
462804,A
462810,A
462814,D
462817,B
462819,C
462824,B
462826,D
462827,D
462834,D
462838,B
462841,D
462845,C
462849,C
462850,D
462853,D
462854,D
462858,D
462861,D
462866,B
462868,B
462869,A
462871,B
462872,A
462874,C
462887,A
462890,D
462891,D
462894,C
462900,C
462905,C
462914,C
462920,B
462923,A
462927,D
462944,C
462951,A
462956,B
462958,D
462963,A
462966,B
462968,B
462971,B
462976,C
462981,D
462982,D
462983,C
462984,C
462986,D
462998,B
463003,C
463020,A
463023,A
463028,D
463030,C
463034,D
463037,B
463039,B
463040,D
463051,A
463052,D
463058,D
463069,A
463075,C
463080,A
463083,D
463085,A
463088,B
463089,C
463090,A
463091,D
463094,B
463100,D
463102,A
463104,D
463106,C
463108,C
463120,A
463133,B
463144,C
463145,B
463146,B
463148,C
463149,C
463150,D
463151,B
463154,A
463157,A
463158,C
463163,D
463164,C
463165,C
463166,A
463171,A
463173,B
463174,B
463181,C
463187,C
463195,D
463196,B
463199,C
463201,D
463203,D
463204,A
463209,B
463218,B
463219,A
463220,B
463224,C
463240,B
463242,D
463244,A
463245,B
463248,D
463251,D
463256,D
463258,C
463260,A
463265,C
463267,A
463269,B
463270,A
463273,B
463277,A
463278,A
463280,C
463292,B
463308,A
463316,D
463323,D
463324,D
463330,D
463332,A
463334,D
463338,A
463340,D
463341,B
463348,B
463356,D
463360,B
463367,A
463368,C
463372,A
463375,A
463376,C
463378,A
463379,D
463386,B
463391,B
463406,D
463409,B
463420,C
463423,B
463427,A
463428,D
463437,C
463438,B
463443,C
463447,B
463452,C
463462,A
463475,A
463477,D
463483,D
463491,A
463499,A
463500,B
463503,A
463508,A
463509,A
463512,A
463516,B
463527,A
463533,C
463537,D
463545,A
463548,D
463550,C
463553,A
463554,B
463557,D
463560,D
463561,A
463572,C
463577,C
463586,D
463588,D
463598,D
463601,D
463603,D
463605,D
463606,D
463614,D
463616,B
463619,B
463620,D
463623,D
463624,C
463628,A
463632,A
463638,A
463639,D
463640,D
463644,D
463654,A
463655,C
463661,B
463664,A
463665,C
463669,D
463699,D
463703,B
463704,B
463707,A
463713,D
463716,D
463718,C
463722,C
463724,D
463726,C
463727,D
463728,A
463732,D
463734,B
463741,B
463745,C
463747,C
463748,D
463753,D
463756,B
463761,B
463764,C
463766,C
463767,B
463768,A
463774,A
463776,C
463782,A
463784,D
463785,D
463790,D
463799,A
463800,A
463804,B
463807,D
463811,C
463814,D
463816,C
463818,B
463821,D
463825,C
463827,B
463828,A
463830,D
463834,B
463835,D
463842,B
463847,B
463856,C
463857,B
463859,C
463865,C
463877,B
463880,A
463884,A
463891,A
463892,A
463904,D
463917,D
463923,D
463924,B
463926,D
463931,C
463932,C
463941,A
463943,A
463946,D
463948,D
463951,B
463955,A
463958,D
463961,A
463963,D
463966,A
463978,C
463980,C
463981,A
463983,A
463986,C
463997,A
464000,D
464004,D
464007,B
464009,C
464010,D
464013,D
464019,D
464021,D
464023,D
464030,D
464031,D
464032,D
464033,D
464039,A
464042,B
464046,D
464048,D
464049,D
464053,A
464054,B
464059,B
464063,A
464066,D
464067,D
464068,B
464071,A
464072,A
464076,A
464084,D
464089,B
464096,D
464099,C
464103,C
464110,C
464112,D
464115,A
464118,A
464121,A
464123,A
464127,D
464132,D
464137,C
464139,D
464144,C
464152,B
464167,C
464172,B
464173,C
464176,A
464179,C
464180,B
464182,C
464183,A
464185,C
464195,A
464200,D
464202,B
464204,C
464205,A
464206,A
464211,C
464212,C
464217,D
464223,C
464226,C
464231,C
464232,D
464246,C
464254,C
464255,C
464265,A
464270,B
464271,C
464274,C
464276,D
464283,B
464286,C
464289,D
464292,C
464297,A
464298,D
464308,B
464318,D
464320,A
464326,C
464332,B
464339,A
464344,B
464351,D
464364,C
464368,B
464370,C
464373,B
464378,C
464381,C
464382,C
464386,C
464387,A
464389,C
464396,B
464412,D
464424,D
464425,A
464432,D
464436,A
464437,B
464441,B
464451,C
464456,A
464468,B
464473,C
464474,B
464478,B
464481,C
464482,B
464483,C
464485,D
464487,A
464488,C
464494,C
464499,B
464501,D
464504,D
464506,D
464522,A
464526,C
464528,B
464536,B
464540,B
464544,A
464549,C
464552,C
464553,B
464555,A
464560,A
464561,A
464566,B
464569,D
464570,A
464572,D
464576,D
464577,A
464580,A
464586,B
464593,A
464594,B
464597,B
464601,D
464603,A
464606,C
464607,C
464608,C
464620,C
464621,B
464641,D
464652,A
464654,B
464664,B
464666,B
464670,B
464673,A
464674,C
464675,D
464677,D
464683,B
464684,A
464685,D
464688,D
464691,A
464692,D
464693,A
464695,D
464696,A
464697,C
464699,D
464701,D
464704,B
464711,C
464712,A
464726,D
464728,B
464732,C
464737,B
464739,B
464746,D
464755,C
464756,D
464758,B
464760,B
464765,B
464766,B
464772,A
464774,B
464780,C
464792,D
464799,D
464802,A
464804,D
464806,D
464812,B
464813,B
464817,A
464825,D
464827,B
464828,D
464831,D
464835,D
464845,D
464849,C
464851,B
464852,D
464854,B
464857,D
464864,D
464865,D
464868,A
464872,A
464873,C
464879,A
464884,B
464885,A
464886,B
464902,A
464910,C
464911,C
464919,A
464920,A
464921,B
464927,C
464932,D
464938,A
464939,A
464940,A
464944,A
464947,D
464957,D
464960,D
464961,A
464963,A
464972,A
464981,C
464987,C
464990,B
464991,A
464995,A
465001,B
465005,C
465012,B
465014,D
465022,C
465023,C
465026,D
465032,C
465035,C
465038,B
465039,A
465040,B
465045,B
465056,A
465069,C
465076,B
465079,A
465082,A
465087,D
465092,C
465093,B
465095,C
465099,A
465100,C
465101,C
465105,C
465111,C
465112,B
465113,B
465119,C
465120,D
465121,A
465122,C
465124,A
465128,C
465134,B
465136,C
465144,A
465147,D
465150,A
465153,C
465155,A
465160,C
465164,D
465171,C
465172,C
465175,D
465176,C
465181,D
465182,A
465186,C
465187,B
465188,C
465189,B
465194,D
465196,A
465197,C
465201,B
465202,D
465203,D
465204,D
465213,B
465214,D
465216,C
465226,A
465228,B
465231,B
465236,A
465242,D
465249,D
465254,D
465261,D
465264,D
465267,A
465274,B
465285,A
465288,D
465289,A
465290,C
465294,D
465296,A
465303,C
465306,B
465310,D
465319,D
465333,C
465335,B
465340,C
465342,C
465344,C
465351,C
465352,B
465354,D
465357,C
465358,C
465359,A
465364,A
465366,B
465371,A
465372,A
465383,A
465384,C
465391,B
465393,C
465395,B
465399,A
465410,D
465419,A
465423,C
465428,A
465435,A
465437,C
465440,A
465441,A
465445,D
465458,C
465461,B
465471,B
465473,B
465477,D
465479,A
465482,D
465483,C
465484,C
465488,D
465489,A
465492,A
465505,C
465507,A
465508,D
465510,B
465518,C
465520,C
465521,C
465522,B
465529,D
465539,C
465541,C
465543,D
465550,D
465554,A
465558,D
465568,B
465569,B
465571,B
465577,D
465584,B
465586,A
465594,D
465598,D
465600,A
465602,B
465605,A
465611,B
465612,C
465616,A
465621,A
465625,A
465627,D
465629,C
465635,D
465640,C
465644,D
465645,B
465649,D
465651,D
465653,C
465655,B
465658,C
465663,B
465667,D
465668,D
465669,B
465670,A
465675,A
465680,D
465685,D
465689,D
465697,C
465703,D
465704,B
465705,C
465706,C
465721,A
465725,D
465727,D
465733,A
465734,A
465736,B
465737,A
465740,B
465742,C
465751,B
465753,C
465766,A
465768,C
465769,D
465772,A
465775,D
465776,A
465777,A
465784,D
465788,D
465793,D
465797,C
465804,A
465809,B
465811,D
465813,D
465818,D
465823,B
465826,D
465828,D
465829,C
465831,B
465841,A
465848,D
465849,D
465851,B
465857,A
465863,D
465865,D
465866,A
465867,B
465873,D
465875,B
465884,C
465893,B
465894,A
465916,A
465923,D
465925,D
465927,D
465930,B
465931,A
465935,A
465937,D
465941,D
465948,C
465953,B
465957,D
465960,D
465961,A
465963,C
465965,D
465972,D
465974,C
465975,A
465976,A
465979,A
465982,B
465996,D
465997,D
466001,A
466007,B
466017,B
466019,C
466020,D
466024,A
466042,A
466043,C
466046,A
466069,C
466071,C
466079,A
466082,A
466083,D
466084,D
466088,A
466092,C
466099,C
466103,A
466109,C
466111,A
466114,C
466115,D
466118,A
466124,B
466128,B
466130,A
466132,D
466136,D
466138,D
466140,D
466141,B
466142,A
466143,B
466146,D
466148,B
466149,D
466153,B
466154,C
466156,C
466162,B
466166,A
466172,C
466178,C
466180,D
466185,C
466200,C
466201,B
466206,C
466207,C
466208,D
466210,C
466213,D
466223,B
466225,D
466226,C
466233,B
466235,C
466236,A
466238,D
466246,D
466253,D
466257,D
466268,C
466271,D
466276,D
466285,D
466286,C
466287,C
466289,D
466292,B
466297,D
466300,C
466301,C
466306,D
466313,B
466315,A
466317,A
466318,D
466320,A
466321,A
466324,A
466326,D
466335,D
466337,A
466341,C
466347,D
466352,B
466355,D
466367,B
466372,C
466373,C
466376,B
466380,A
466381,C
466382,B
466387,B
466389,B
466393,A
466395,C
466397,D
466400,B
466401,B
466402,C
466404,A
466406,A
466408,A
466411,C
466414,A
466418,A
466419,B
466422,D
466427,D
466429,D
466443,C
466450,D
466455,D
466456,A
466463,D
466464,B
466467,C
466468,D
466474,D
466478,C
466486,B
466488,C
466490,D
466493,A
466500,C
466501,C
466502,D
466516,D
466526,D
466527,D
466530,D
466533,A
466535,A
466536,D
466538,B
466541,A
466543,D
466545,D
466552,D
466553,D
466556,D
466562,D
466564,D
466565,A
466576,D
466586,D
466588,D
466596,C
466603,B
466606,A
466613,D
466628,D
466631,C
466634,D
466635,C
466650,D
466652,C
466655,D
466656,C
466658,D
466665,C
466666,D
466686,D
466687,D
466688,D
466689,A
466696,C
466704,C
466705,D
466707,B
466713,C
466720,D
466721,C
466725,A
466731,A
466732,B
466746,C
466752,D
466753,C
466754,C
466760,C
466765,B
466769,D
466775,B
466776,A
466777,C
466778,A
466788,D
466790,C
466791,D
466792,D
466799,D
466808,A
466810,D
466814,D
466815,D
466816,C
466818,B
466826,A
466832,C
466833,B
466846,D
466863,D
466867,D
466874,B
466884,A
466886,D
466891,A
466905,B
466906,B
466908,A
466909,C
466910,B
466918,C
466920,D
466923,D
466927,D
466936,B
466938,B
466939,B
466951,C
466954,C
466955,A
466956,B
466961,C
466966,B
466967,B
466970,A
466971,D
466975,C
466990,B
466996,B
466999,D
467000,A
467008,C
467009,D
467022,A
467023,D
467025,A
467044,D
467046,D
467050,D
467053,D
467058,B
467060,A
467063,C
467073,A
467079,B
467084,C
467085,A
467088,B
467092,D
467093,C
467098,D
467099,A
467107,B
467111,B
467112,B
467114,C
467116,C
467119,A
467125,B
467132,B
467136,B
467137,A
467138,A
467139,C
467143,D
467144,A
467146,D
467147,A
467157,B
467159,A
467168,C
467180,D
467183,B
467185,A
467189,C
467193,A
467202,D
467212,D
467216,A
467218,A
467223,B
467227,A
467230,D
467232,D
467233,B
467235,D
467238,D
467239,A
467241,A
467242,D
467247,D
467256,D
467260,D
467281,C
467283,C
467300,B
467301,D
467303,C
467309,A
467311,C
467312,C
467313,B
467314,C
467317,A
467322,C
467325,C
467329,A
467338,D
467344,C
467345,A
467346,C
467352,C
467355,D
467358,C
467359,C
467365,A
467367,C
467369,A
467375,A
467378,C
467393,C
467398,A
467399,D
467403,C
467410,B
467415,D
467419,B
467421,B
467422,C
467423,B
467434,A
467437,C
467438,D
467445,A
467449,C
467451,B
467455,B
467456,A
467457,D
467463,C
467472,C
467474,D
467479,B
467481,C
467482,B
467487,B
467492,B
467493,C
467500,C
467503,C
467505,A
467510,A
467532,B
467533,A
467540,C
467542,D
467559,C
467565,C
467576,C
467579,A
467588,C
467589,A
467592,A
467595,D
467596,A
467604,D
467608,D
467609,A
467610,B
467614,C
467620,C
467621,A
467629,B
467635,A
467641,B
467643,A
467657,D
467658,D
467659,C
467664,C
467666,C
467667,A
467669,A
467673,B
467678,D
467683,D
467684,D
467685,A
467693,B
467694,C
467699,A
467707,A
467710,A
467715,C
467721,A
467723,D
467726,C
467727,C
467728,B
467729,B
467733,C
467734,A
467735,D
467737,A
467739,C
467740,D
467741,D
467749,D
467763,B
467767,D
467768,C
467769,B
467772,D
467779,C
467789,D
467802,C
467803,B
467806,C
467808,C
467812,B
467813,A
467815,C
467825,B
467828,C
467838,C
467848,A
467849,B
467852,A
467856,B
467860,A
467864,C
467865,B
467868,B
467876,C
467880,C
467882,A
467883,C
467888,D
467891,D
467892,D
467894,C
467895,D
467898,C
467901,D
467904,A
467905,B
467911,D
467913,B
467915,D
467917,D
467927,D
467929,C
467930,C
467932,D
467933,D
467934,A
467938,A
467940,D
467946,C
467948,D
467949,D
467950,A
467954,D
467958,A
467961,C
467968,D
